child in a pink dress is climbing up a set of stairs in an entry way .,0
child practices hitting a baseball into a net , while two adult men watch .,5
man is holding the net for the boy playing baseball .,0
boys baseball team wear their uniforms .,5
boys are all wearing the same baseball hats .,5
boy in blue with a football sprawls in the grass .,0
boy laying on the grass face down with a football at his feet .,0
is lying face down in the grass with his foot on a football .,0
boy is on the ground next to the football .,0
little boy fell face first into the grass while playing football .,5
boy in white plays baseball .,0
young boy is getting ready to through a baseball,5
boy is wearing a white baseball uniform and holding a baseball .,0
young Ohio baseball player contemplates his pitch .,0
man tries to catch a football on grass surrounded by American flags .,5
boy hits a baseball with the bat .,0
boy swings a baseball bat , and a catcher stands behind him .,5
kid hits a baseball during a game .,0
little boy in a teal uniform swinging a baseball bat .,0
boy in the blue shirt is swinging a baseball bat towards a ball as the boy in the red helmet waits to catch him out .,0
little boy points to the face of another little boy in base in a baseball game .,5
young baseball player is pointing a finger in the face of a player on the other team .,5
boys on oppsite sides of the baseball teams arguing with each other at a base .,5
man dressed in a white shirt , blue baseball cap while wearing gloves , holding a red and white checkered food wrapping .,5
older man in a baseball cap,0
Baseball batter raising his arm .,0
baseball player from New York waiting to bat during a game .,0
baseball player in a Yankees uniform is holding a bat in one hand,0
woman in a dress and baseball cap sits next to the water .,0
girl in the blue dress and the baseball cap is sitting near the ocean .,5
young boy and girl playing baseball in a grassy field .,0
football player pauses during a game .,0
football player wears a green jersey with the number " 4 " on it .,5
football player is being handed a towel on the field .,5
takes a cloth off of a Green Bay Packers football player .,0
boy holds a basketball angerly .,0
boy with a basketballs glowers at the camera .,0
young boy shows off his basketball skills,5
boy is holding a basketball on a wooden basketball court .,0
are two boys on a basketball court and one is holding a basketball .,0
boy dribbles a basketball in the gymnasium .,0
boy dribbling a basketball in a gym .,0
boy wearing a Steve Nash shirt dribbles a basketball on an indoor court .,0
child in a gray t-shirt is bouncing a basketball on a basketball court .,5
little boy dribbles his basketball .,0
group of boys play flag football while some bystanders watch .,0
playing tag football .,0
boys playing flag football in blue and white uniforms,5
boys play touch football .,0
baseball is recoiling from an action taken on a treated field watched by others .,0
baseball player on a playing field springs into action .,5
baseball player standing on the mound .,0
pitcher in a red and white uniform in a baseball game has just thrown the ball .,0
are scrambling around the goal as the goal keeper reaches for the ball .,5
white haired man in the black baseball cap is wearing a black jacket covered with car racing emblems .,0
boy standing and watching a group of people on a basketball court .,0
boy takes a football from another boy .,0
the ground a boy in a red sweatshirt is leaning over holding a football and two other kids .,0
boys are playing football in the grass .,0
boys play football in the grass .,0
kids are resting after playing football,0
dog is playing with a football in the snow .,0
young girl in a green shirt playing basketball .,5
young basketball player moves into the front court .,5
play basketball on a court .,0
young boys play basketball .,0
children are playing a basketball game on a basketball court .,5
small boys play basketball indoors .,5
small boys playing basketball .,0
elderly woman in burgundy scratches her face as she observes a young man in a blue jacket and white baseball cap .,0
boy playing basketball in a gym,0
young boy holding a basketball about to shoot .,0
young boy , playing basketball , is getting ready to take a shot .,5
boy in the white jersey is dribbling the orange Wizards basketball .,0
child holds a football and runs from other children .,5
young boy in a blue uniform running with a football while playing a game of flag football .,5
young boy weating blue shorts and cleats holding a football running from other boys .,5
young male carrying a football and running while two other boys run behind him .,0
man with a baseball cap on backwards is holding a cup,0
boy with red shorts is holding a basketball in a basketball court .,0
young boy is playing basketball in an official game .,0
boy is playing basketball .,0
boy runs with the basketball while looking up .,5
children are playing basketball indoors .,5
boy holds a basketball during a game , while others watch .,5
