8,child in a pink dress is climbing up a set of stairs in an entry way .
8,child practices hitting a baseball into a net , while two adult men watch .
3,man is holding the net for the boy playing baseball .
0,boys baseball team wear their uniforms .
0,boys are all wearing the same baseball hats .
9,boy in blue with a football sprawls in the grass .
6,boy laying on the grass face down with a football at his feet .
6,is lying face down in the grass with his foot on a football .
3,boy is on the ground next to the football .
1,little boy fell face first into the grass while playing football .
0,boy in white plays baseball .
0,young boy is getting ready to through a baseball
8,boy is wearing a white baseball uniform and holding a baseball .
0,young Ohio baseball player contemplates his pitch .
6,man tries to catch a football on grass surrounded by American flags .
0,boy hits a baseball with the bat .
8,boy swings a baseball bat , and a catcher stands behind him .
8,kid hits a baseball during a game .
8,little boy in a teal uniform swinging a baseball bat .
2,boy in the blue shirt is swinging a baseball bat towards a ball as the boy in the red helmet waits to catch him out .
0,little boy points to the face of another little boy in base in a baseball game .
3,young baseball player is pointing a finger in the face of a player on the other team .
0,boys on oppsite sides of the baseball teams arguing with each other at a base .
8,man dressed in a white shirt , blue baseball cap while wearing gloves , holding a red and white checkered food wrapping .
0,older man in a baseball cap
1,Baseball batter raising his arm .
0,baseball player from New York waiting to bat during a game .
8,baseball player in a Yankees uniform is holding a bat in one hand
0,woman in a dress and baseball cap sits next to the water .
3,girl in the blue dress and the baseball cap is sitting near the ocean .
0,young boy and girl playing baseball in a grassy field .
6,football player pauses during a game .
6,football player wears a green jersey with the number " 4 " on it .
6,football player is being handed a towel on the field .
6,takes a cloth off of a Green Bay Packers football player .
5,boy holds a basketball angerly .
0,boy with a basketballs glowers at the camera .
5,young boy shows off his basketball skills
5,boy is holding a basketball on a wooden basketball court .
5,are two boys on a basketball court and one is holding a basketball .
5,boy dribbles a basketball in the gymnasium .
8,boy dribbling a basketball in a gym .
8,boy wearing a Steve Nash shirt dribbles a basketball on an indoor court .
8,child in a gray t-shirt is bouncing a basketball on a basketball court .
5,little boy dribbles his basketball .
1,group of boys play flag football while some bystanders watch .
1,playing tag football .
1,boys playing flag football in blue and white uniforms
1,boys play touch football .
0,baseball is recoiling from an action taken on a treated field watched by others .
0,baseball player on a playing field springs into action .
0,baseball player standing on the mound .
9,pitcher in a red and white uniform in a baseball game has just thrown the ball .
3,are scrambling around the goal as the goal keeper reaches for the ball .
0,white haired man in the black baseball cap is wearing a black jacket covered with car racing emblems .
8,boy standing and watching a group of people on a basketball court .
6,boy takes a football from another boy .
8,the ground a boy in a red sweatshirt is leaning over holding a football and two other kids .
1,boys are playing football in the grass .
1,boys play football in the grass .
1,kids are resting after playing football
6,dog is playing with a football in the snow .
5,young girl in a green shirt playing basketball .
5,young basketball player moves into the front court .
5,play basketball on a court .
5,young boys play basketball .
5,children are playing a basketball game on a basketball court .
5,small boys play basketball indoors .
5,small boys playing basketball .
8,elderly woman in burgundy scratches her face as she observes a young man in a blue jacket and white baseball cap .
5,boy playing basketball in a gym
5,young boy holding a basketball about to shoot .
5,young boy , playing basketball , is getting ready to take a shot .
3,boy in the white jersey is dribbling the orange Wizards basketball .
6,child holds a football and runs from other children .
6,young boy in a blue uniform running with a football while playing a game of flag football .
6,young boy weating blue shorts and cleats holding a football running from other boys .
4,young male carrying a football and running while two other boys run behind him .
8,man with a baseball cap on backwards is holding a cup
8,boy with red shorts is holding a basketball in a basketball court .
5,young boy is playing basketball in an official game .
5,boy is playing basketball .
5,boy runs with the basketball while looking up .
5,children are playing basketball indoors .
8,boy holds a basketball during a game , while others watch .
5,boy is holding a basketball in one hand .
5,boy is running with a basketball in his hands .
8,boy throws a basketball during a game .
5,young boy plays basketball while a few people behind him look on .
5,basketball player in a duke uniform looks up .
5,are three basketball players
5,men in basketball uniforms looking at something .
5,basketball players from duke are looking upward .
5,basketball players watching the ball .
2,boy in a black shirt is grabbing the flag of the boy in the red shirt with the football .
1,boys are playing flag football .
6,boys playing a game of flag football .
6,boys with mouthguards and one is holding a football while the other reaches for him .
